"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 03 14:08:24 GMT 2024","Sun Nov 03 14:08:47 GMT 2024","22961","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Sun Nov 03 14:08:22 GMT 2024","Sun Nov 03 14:08:23 GMT 2024","782","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Sun Nov 03 14:08:48 GMT 2024","Sun Nov 03 14:08:59 GMT 2024","11433","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Sun Nov 03 14:08:22 GMT 2024","Sun Nov 03 14:09:07 GMT 2024","44664","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"passed","Sun Nov 03 14:08:24 GMT 2024","Sun Nov 03 14:08:47 GMT 2024","22926","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"failed","Sun Nov 03 14:08:23 GMT 2024","Sun Nov 03 14:08:24 GMT 2024","715","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Sun Nov 03 14:08:22 GMT 2024","Sun Nov 03 14:08:48 GMT 2024","25339","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Sun Nov 03 14:08:59 GMT 2024","Sun Nov 03 14:09:07 GMT 2024","7639","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"failed","Sun Nov 03 14:08:23 GMT 2024","Sun Nov 03 14:08:24 GMT 2024","566","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"failed","Sun Nov 03 14:08:22 GMT 2024","Sun Nov 03 14:08:23 GMT 2024","753","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Sun Nov 03 14:08:57 GMT 2024","Sun Nov 03 14:09:06 GMT 2024","8773","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Sun Nov 03 14:08:47 GMT 2024","Sun Nov 03 14:09:00 GMT 2024","13008","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"passed","Sun Nov 03 14:08:47 GMT 2024","Sun Nov 03 14:08:57 GMT 2024","10730","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
